name,detail_url,logo_url,slug,has_logo
420 Businesses,https://www.leafly.com/brands/420-businesses,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/xAWRu1JJQBiNKo5yH0oG_420%20Businesses%20Logo%20Square.jpg,420-businesses,yes
420 Financial Strategies,https://www.leafly.com/brands/420-financial-strategies,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/2c1cRTgRfqRAgtPk1aEm_Screen-Shot-2016-01-21-at-1.50.19-PM.png,420-financial-strategies,yes
420 Gardens,https://www.leafly.com/brands/420-gardens,https://leafly-public.imgix.net/brands/brand-placeholder.svg,420-gardens,yes
420 Gold,https://www.leafly.com/brands/420-gold,https://leafly-public.imgix.net/brands/brand-placeholder.svg,420-gold,yes
420 Goody Box,https://www.leafly.com/brands/420-goody-box,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/IL9IJDmTqm0eF9scKrhM_xRAj655O_400x400.jpg,420-goody-box,yes
420 Leather Shop,https://www.leafly.com/brands/420-leather-shop,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/EQbVp7TeQJGgR3IJgz7U_420-logo-300.jpg,420-leather-shop,yes
420 PROPER,https://www.leafly.com/brands/420-proper,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/jDezlv0vRfSxic61T0b2_0F31C265-0197-4934-92AB-DF852A523042.png,420-proper,yes
420 Real Properties,https://www.leafly.com/brands/420-real-properties,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/SVUAeVHBTxuwIz7ehvCM_IMG_3270.jpg,420-real-properties,yes
420 Reclaim,https://www.leafly.com/brands/couchlock,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/eIm0rBiZSpaE1hiqUa35_8D3066B9-1BBC-4267-B72B-FB7CDB271461.JPG,couchlock,yes
420 Science,https://www.leafly.com/brands/420-science,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/e2XZvjm0RZOd3SzXEgUR_420science1.png,420-science,yes
420 Time,https://www.leafly.com/brands/420-time,https://leafly-public.imgix.net/brands/brand-placeholder.svg,420-time,yes
420Digital Marketing,https://www.leafly.com/brands/420digital-marketing,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/xmteyJEmSuGvfhOof9nI_420-logo-circle-1.jpg,420digital-marketing,yes
420PR Group,https://www.leafly.com/brands/420pr-group,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/fmipK7m9T4WU19JxxUrU_prgrouplogo.png,420pr-group,yes
420Property.com,https://www.leafly.com/brands/420propertycom,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/wIqBuXriTBuXyhj7iivX_435123LOGO.jpg,420propertycom,yes
420UK,https://www.leafly.com/brands/420uk,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/fEbe43njRUqCsX8aXlnG_420_logo_540x.png,420uk,yes
420Way.ca,https://www.leafly.com/brands/420wayca,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/wiB7Eh4kRQu4wtSLnRuj_420Way.ca-squarebg.png,420wayca,yes
42Days,https://www.leafly.com/brands/42days,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/mmH1MGkQliav0SHieeIp_2.jpg,42days,yes
454 Distribution,https://www.leafly.com/brands/454-distribution,https://leafly-public.imgix.net/brands/brand-placeholder.svg,454-distribution,yes
45TH LATITUDE,https://www.leafly.com/brands/45th-latitude,https://leafly-public.imgix.net/brands/brand-placeholder.svg,45th-latitude,yes
45th Parallel Farms,https://www.leafly.com/brands/45th-parallel-farms,https://leafly-public.imgix.net/brands/brand-placeholder.svg,45th-parallel-farms,yes
48North,https://www.leafly.com/brands/48north,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/u4lb4KbTOi8eQqRySUBc_48N-Logo_Leafly.png,48north,yes
4Blooms Cannabis Marketing Services,https://www.leafly.com/brands/4blooms-cannabis-marketing-services,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/Q5ImQq8tQmihVNTvzGiM_2019%204Blooms-logo-mark-02-square-sized%202.png,4blooms-cannabis-marketing-services,yes
4CBDandMore,https://www.leafly.com/brands/4cbdandmore,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/vmbdFO1bS210k25p6eD9_001-droplogo.png,4cbdandmore,yes
4Evergreen Trees,https://www.leafly.com/brands/4evergreen-trees,https://leafly-public.imgix.net/brands/brand-placeholder.svg,4evergreen-trees,yes
4HUNNID,https://www.leafly.com/brands/4hunnid,https://leafly-public.imgix.net/brands/brand-placeholder.svg,4hunnid,yes
4Republic,https://www.leafly.com/brands/4republic,https://leafly-public.imgix.net/brands/brand-placeholder.svg,4republic,yes
4SCORE,https://www.leafly.com/brands/4score,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/bNV7BhftTqefDf7MWhr9_Logo-wo-words_S.jpg,4score,yes
